2022-05-04 15:54:29,568 | MainThread   | [ERROR   ] | _load_config        |: Error loading config file: connection.yaml
2022-05-04 15:59:30,976 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 15:59:30,978 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2022-05-04 16:01:32,967 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-04 16:01:32,967 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-04 16:01:32,968 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:01:35,875 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:09:37,191 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:09:39,495 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:09:42,324 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:13:47,516 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:13:47,518 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-04 16:13:47,519 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-05-04 16:13:47,520 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-05-04 16:14:06,008 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-04 16:14:06,008 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-04 16:14:06,009 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:15:18,085 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:15:21,018 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:18:55,881 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:19:19,064 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-04 16:19:19,065 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-05-04 16:19:19,069 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-05-04 16:19:45,257 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-04 16:19:45,258 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-04 16:19:45,259 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:19:48,504 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:20:38,590 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:20:44,949 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:20:47,911 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:22:45,909 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:24:12,760 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:24:15,502 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:26:55,584 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:28:07,995 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:28:10,777 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:29:57,549 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:30:03,938 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:30:06,666 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 16:31:00,414 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-05-04 16:31:39,543 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 16:31:42,615 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
